name,address,latitude,longitude
寺地なかよし公園,金沢市伏見台２丁目72番地ほか,36.53352105,136.6379316
寺地みんなの広場,金沢市寺地１丁目39番地,36.53550018,136.6440863
金沢市立伏見台小学校,金沢市窪５丁目335番地,36.52665357,136.6380041
金沢市立高尾台中学校,金沢市高尾台１丁目128番地,36.52291499,136.6343828
国際高等専門学校,金沢市久安２丁目270番地,36.53255226,136.6292949
金沢市伏見台公民館,金沢市窪５丁目675番地,36.52591793,136.6380717
円光寺第２公園,金沢市伏見台３丁目58番地ほか,36.53174869,136.6349713
横川日吉児童公園,金沢市横川１丁目68番地,36.53530067,136.6230421
久安殿屋敷公園,金沢市久安２丁目281番地,36.53328019,136.6306445
久安伏見公園,金沢市久安１丁目489番地,36.53266957,136.6322197
窪錦丘公園,金沢市窪７丁目309番地,36.53068066,136.6391763
窪伏見台公園,金沢市窪４丁目547番地,36.5268493,136.6396408
高尾中央公園,金沢市高尾台３丁目143番地,36.52139471,136.6303417
三馬第１児童公園,金沢市三馬３丁目150番地,36.52845874,136.632137
三馬第２児童公園,金沢市三馬１丁目229番地,36.52515337,136.6312183
三馬第３児童公園,金沢市三馬１丁目73番地,36.52651414,136.6348125
三馬第４児童公園,金沢市三馬３丁目325番地,36.52740118,136.6306028
的場公園,金沢市高尾台１丁目354番地,36.52211336,136.636477
金沢市立額小学校,金沢市額乙丸町イ55番地,36.51030313,136.621582
金沢市立額中学校,金沢市額乙丸町イ１番地,36.5107,136.622989
金沢市額公民館,金沢市額谷３丁目１番地１,36.51088342,136.6241778
金沢市額谷ふれあい体育館,金沢市額谷町ヌ16番地,36.509409,136.629936
金沢市老人福祉センター鶴寿園,金沢市額谷町ヌ１番地,36.50981237,136.6294954
額せせらぎ公園,金沢市額谷１丁目１番地ほか,36.51193589,136.6256056
額乙丸児童公園,金沢市額乙丸町ハ151番地,36.51061241,136.6181899
額新保中央公園,金沢市額新保２丁目350番地,36.51636187,136.6163309
額谷ふれあい公園,金沢市額谷町ヌ16番地ほか,36.50875738,136.6301444
金沢市営額谷運動広場,金沢市額谷町ホ２番地３,36.50911708,136.6291085
額谷第１児童公園,金沢市額谷２丁目49番地,36.50859,136.62611
光が丘３丁目児童公園,金沢市光が丘３丁目19番地,36.51313,136.62727
光が丘中央公園,金沢市光が丘２丁目105番地,36.51632213,136.6278022
大額１丁目公園,金沢市大額１丁目378番地,36.51432862,136.6185543
大額２丁目公園,金沢市大額２丁目132番地,36.51681583,136.6240343
金沢市立四十万小学校,金沢市四十万３丁目186番地,36.50276979,136.6175628
金沢市四十万公民館,金沢市四十万３丁目90番地,36.50365773,136.6188317
三十苅児童公園,金沢市三十苅町丙184番地,36.50807005,136.6189146
三十苅中央公園,金沢市三十苅町丁154番地,36.50738858,136.6153934
四十万あいぞめ公園,金沢市南四十万１丁目221番地,36.49761705,136.6194034
四十万きずな広場,金沢市四十万町北チ54番地３,36.507066,136.623713
四十万中央公園,金沢市四十万３丁目185番地,36.50347265,136.6182149
中四十万児童公園,金沢市四十万町リ407番地,36.4998449,136.6211049
金沢市立扇台小学校,金沢市馬替１丁目34番地,36.5227621,136.625436
金沢市扇台公民館,金沢市馬替１丁目29番地１,36.52207424,136.6241346
あすなろ公園,金沢市額新町１丁目26番地ほか,36.51809064,136.620223
額新町１丁目緑地,金沢市額新町１丁目183番地ほか,36.51935487,136.6214188
額新町２丁目緑地,金沢市額新町２丁目49番地ほか,36.51632765,136.6198569
額新町第２公園,金沢市額新町１丁目217番地ほか,36.51905648,136.6236878
額新町第３児童公園,金沢市額新町２丁目77番地１,36.51714833,136.6204257
光が丘１丁目児童公園,金沢市光が丘１丁目67番地ほか,36.52072568,136.6257262
高尾第３児童公園,金沢市高尾南１丁目165番地,36.51527794,136.6343735
高尾南ゆうあい公園,金沢市高尾南２丁目119番地,36.51727354,136.6309753
城谷公園,金沢市高尾台４丁目57番地,36.5232498,136.6270412
馬替児童公園,金沢市馬替２丁目39番地ほか,36.52342962,136.62227
金沢市立長田町小学校,金沢市長田１丁目５番40号,36.5753721,136.6422278
金沢市長田町公民館,金沢市長田１丁目５番50号,36.57585732,136.6429925
駅西第１児童公園,金沢市広岡２丁目802番地,36.57845475,136.6433546
駅西第３児童公園,金沢市駅西本町１丁目904番地,36.57983461,136.6399427
駅西中央公園,金沢市西念１丁目1101番地,36.58256724,136.6436167
長田２丁目ひまわり公園,金沢市長田２丁目９番地ほか,36.57484604,136.6399953
金沢市立戸板小学校,金沢市戸板１丁目１番地,36.57926794,136.6227611
金沢市立長田中学校,金沢市二宮町１番１号,36.58515234,136.6290747
金沢市戸板公民館,金沢市戸板１丁目２番地,36.579886,136.6226297
駅西第４児童公園,金沢市駅西本町３丁目406番地,36.58299028,136.6361687
戸板東公園,金沢市戸板４丁目19番地,36.5812546,136.6257896
桜田中央公園,金沢市桜田町１丁目116番地,36.57922,136.62009
桜田南児童公園,金沢市桜田町２丁目65番地,36.57676819,136.6213025
示野中青島公園,金沢市示野中町２丁目114番地,36.57540507,136.6156775
示野中中央公園,金沢市示野中町１丁目40番地,36.57789925,136.617155
示野町児童公園,金沢市示野町西26番地ほか,36.58156795,136.6071412
若宮中央公園,金沢市若宮２丁目29番地,36.5751651,136.6312097
出雲中央公園,金沢市出雲町イ418番地,36.57628886,136.6249644
西都ゆめみどり公園,金沢市西都２丁目15番地,36.59003541,136.6261688
大豆田公園,金沢市大豆田本町甲535番地,36.57287534,136.6328602
北町児童公園,金沢市駅西本町６丁目403番地,36.58557021,136.6265483
戸板公園,金沢市戸板５丁目87番地,36.58163136,136.6226292
示野公園,金沢市示野町チ233番地,36.5816428,136.6098649
金沢市立西小学校,金沢市駅西新町３丁目15番１号,36.59216806,136.636561
